planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2072","國內旅費","用途別二級","80","(6)國內旅費80千元。","5","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","3000","設備及投資","","","用途別一級","141","2.設備及投資141千元：汰換及購置相關電腦設備等。","6","true","true",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","141","2.設備及投資141千元：汰換及購置相關電腦設備等。","6","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","04","臺灣新車安全評等精進計畫","","","","","分支計畫","255480","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","04","臺灣新車安全評等精進計畫","2000","業務費","","","用途別一級","255480","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","04","臺灣新車安全評等精進計畫","2000","業務費","2039","委辦費","用途別二級","255480","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","","","","","分支計畫","14919","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","","","用途別一級","14894","1.業務費14,894千元：(1)教育訓練費120千元：參加及辦理空運、海運安全管理、智慧物流等業務相關訓練及研習。","0","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2003","教育訓練費","用途別二級","120","1.業務費14,894千元：(1)教育訓練費120千元：參加及辦理空運、海運安全管理、智慧物流等業務相關訓練及研習。","0","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2036","按日按件計資酬金","用途別二級","179","(2)按日按件計資酬金179千元：辦理航政相關業務會議外聘專家學者出席費等。","1","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2039","委辦費","用途別二級","12274","(3)委辦費12,274千元：委託辦理國際航線船舶之檢驗及發證業務。","2","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2045","國內組織會費","用途別二級","15","(4)國內組織會費15千元：參加國內學術團體年費。","3","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2051","物品","用途別二級","283","(5)物品283千元。","4","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2054","一般事務費","用途別二級","843","(6)一般事務費843千元：辦理海空難搜救演練、災害防救、觀摩講習訓練及其他行政雜支等。","5","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2072","國內旅費","用途別二級","568","(7)國內旅費568千元。","6","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","05","航政業務","2000","業務費","2075","大陸地區旅費","用途別二級","250","(8)大陸地區旅費250千元。","7","","true",""
