planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,headcount,nameMatched,sumMatched,inheritedSub,orphan,multiSum,inferred,ambiguous
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2009","通訊費","用途別二級","60","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2027","保險費","用途別二級","70","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2033","約用人員酬金","用途別二級","7890","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2036","按日按件計資酬金","用途別二級","892","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2039","委辦費","用途別二級","8494","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2045","國內組織會費","用途別二級","20","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2051","物品","用途別二級","100","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2054","一般事務費","用途別二級","4497","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2072","國內旅費","用途別二級","662","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","4000","獎補助費","","","用途別一級","78899","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","4000","獎補助費","4030","對特種基金之補助","用途別二級","32916","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","4000","獎補助費","4040","對國內團體之捐助","用途別二級","47","2.補助本部公務人員協會等運作經費47千元。","9","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","4000","獎補助費","4045","對私校之獎助","用途別二級","41076","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","4000","獎補助費","4085","獎勵及慰問","用途別二級","4860","3.本部退休人員三節慰問金360千元：依每人每節發給2千元年節慰問金標準計，每年發給退休人員三節慰問金所需經費計360千元（人事處）。4.每年三節發給對教育具有貢獻，且生活困苦或罹患重病急需濟助之退休教師慰問金，每節1,500千元，三節計4,500千元。","10","","","","","","","true","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","5.補助轄管公私立大專校院依專科以上學校兼任教師聘任辦法第20條規定，提繳未具本職兼任教師之勞工退休金所需經費73,992千元（人事處）。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","6.輔導強化財務計畫經費7,001千元（會計處），包括：(1)為加強本部所屬機關（構）學校財務管理及內部審核作業，舉辦相關會計事務研討會等經費801千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(2)為增進所屬機關（構）學校健全財務秩序與會計作業品質、不定期派員實地查核、協助彙整本部及所屬機關（構）學校概預算與立法院審議相關資料等所需人力經費6,200千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","05","辦公房屋整修及購置事務機具","","","","","分支計畫","8247","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","05","辦公房屋整修及購置事務機具","3000","設備及投資","","","用途別一級","8247","本項計需經費8,247千元，其內容如下：","0","true","","","","","","","",""
"5120010100","一般行政","1,620,528","05","辦公房屋整修及購置事務機具","3000","設備及投資","3010","房屋建築及設備費","用途別二級","4616","1.本部各辦公大樓高壓電變壓器、發電機及空調系統等老舊設備汰換更新2,616千元。2.忠孝、徐州大樓漏水、壁癌等防水及維修工程2,000千元。","1","","","","","","","true","",""
"5120010100","一般行政","1,620,528","05","辦公房屋整修及購置事務機具","3000","設備及投資","3035","雜項設備費","用途別二級","3631","3.汰換辦公桌椅與事務櫃等設備及各式自動化辦公室事務機具3,631千元。","3","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","分支計畫","2438468","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","1.辦理大專以上學校教師資格著作、國家講座、學術獎及專案會議等審查業務經費11,032千元，包括：(1)大專校院教師著作送審審查費5,184千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","(2)聘請專家學者協助審閱相關資料後推薦著作審查人選經費370千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","(3)邀請專家學者審查學術獎、國家講座、召開學審會專案委員會議及研議改進教師資格送審相關法規等會議出席費650千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","(4)辦理國家講座及學術獎等書面審查作業經費2,170千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","(5)郵資（含教師資格審查國內郵資、國家講座及學術獎國外郵資）、教師資格審查制度訪視差旅費及雜費等458千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","","","","","未歸戶說明","","(6)教師資格審查及證書核發作業數位化等相關措施經費2,200千元。","","","","","","","true","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","2000","業務費","","","用途別一級","70894","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","2000","業務費","2009","通訊費","用途別二級","507","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","2000","業務費","2036","按日按件計資酬金","用途別二級","9090","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","2000","業務費","2039","委辦費","用途別二級","60977","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","2000","業務費","2072","國內旅費","用途別二級","320","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","3000","設備及投資","","","用途別一級","213418","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","3000","設備及投資","3045","投資","用途別二級","213418","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","4000","獎補助費","","","用途別一級","2154156","","","","","","","","","","",""
"5120010201","高等教育行政及督導","26,218,737","01","學術審議著作審查、設置國家講座與學術獎及改善高教人才","4000","獎補助費","4030","對特種基金之補助","用途別二級","943863","","","","","","","","","","",""
